cust,pin_pkg,prod_id,bd_id,Location,Original ENT(08:30),Original ENT(11:00),Allocate ENT,Output plan
A-DATA,STBGA252C4V,252X2GJ006,AGJ252X20003A,TB-I,3.0,3.0,6,4216
A-DATA,STBGA252C4V,252X2GJ006,AGJ252X20003A,TB-IP,0,0,1,1089
AKM,QFN-36AB1,036ABBW009,ABW036AB1004A,TB-B,0,0,1,12115
AKM,QFN-36AB1,036ABBW009,ABW036AB1004A,TB-P,3.0,1.0,3,0
AKM,QFN-36AB1,036ABBW009,ABW036AB1004A,TB-U,3.0,1.0,3,0
AP Memory,DFN-08YM2G,008YMQW005,AQW008YM2003A,TB-I,0,0,2,96000
AP Memory,DFN-08YM2G,008YMQW005,AQW008YM2003A,TB-P,3.0,3.0,7,272000
AP Memory,DFN-08YM2G,008YMQW005,AQW008YM2003A,TB-R,0,0,4,128000
AP Memory,DFN-08YM2G,008YMQW005,AQW008YM2003A,TB-U,0,0,14,687518
CHIPLUS,MBGA48A2L,048MAHD001,AHD048MA4002A,TA,0,0,5,73426
CHIPLUS,MBGA48A2L,048MAHD001,AHD048MA4002A,TA-2,1.0,1.0,1,0
CHIPLUS,MBGA48A2L,048MAHD002,AHD048MA4001A,TA,1.0,1.0,1,0
CYPRESS,TSOP2-54CMES,054TSCS005,ACS054TS1012A,TA,1.0,0,1,0
CYPRESS,TSOP2-54CMES,054TSCS005,ACS054TS1012A,TA-2,0,0,2,6016
CYPRESS,TSOP2-54CMES,054TSCS017,ACS054TS1009A,TA-2,1.0,1.0,3,2014
CYPRESS,TSOP2-54ME,054TNCS005,ACS054TN1003A,TA,1.0,0,1,0
ChipMOS,DFN-08Y62D,008Y6AW028,AAW008Y62014A,TB-U,0,0,1,168
ChipMOS,DFN-08YD2A,008YDAB014,AAB008YD2003A,TB-U,0,0,7,713
ChipMOS,DFN-08YD2A,008YDVG006,ABU008YD2004A,TB-U,0,0,1,24
ChipMOS,DFN-08YD2A,008YDVG007,ABU008YD2003A,TB-U,0,0,1,19
ChipMOS,DFN-08YD2A,008YDVG008,ABU008YD2006A,TB-P,0,0,1,4
ChipMOS,DFN-08YD2A,008YDVG010,ABU008YD2002A,TB-U,0,0,1,10
ChipMOS,DFN-08YM2D,008YMAB046,AAB008YM2018A,TB-IP,0,0,2,624
ChipMOS,DFN-08YM2D,008YMAB046,AAB008YM2018A,TB-P,0,0,1,620
ChipMOS,DFN-08YM2D,008YMAB047,AAB008YM2025A,TB-P,0,0,2,802
ChipMOS,DFN-08YM2D,008YMAB047,AAB008YM2025A,TB-U,0,0,1,345
ChipMOS,DFN-08YM2D,008YMAB048,AAB008YM2023A,TB-U,0,0,1,269
ChipMOS,DFN-08YM2D,008YMAB051,AAB008YM2019A,TB-IP,0,0,1,193
ChipMOS,DFN-08YM2D,008YMAB062,AAB008YM2023A,TB-U,0,0,1,181
ChipMOS,DFN-08YM2D,008YMAB068,AAB008YM2018A,TB-P,0,0,1,450
ChipMOS,DFN-08YM2D,008YMAW020,AAW008YM2004A,TB-P,0,0,3,255
ChipMOS,DFN-08YQ2A,008YQAB072,AAB008YQ2022A,TB-P,0,0,1,10
ChipMOS,DFN-08YQ2A,008YQAB072,AAB008YQ2022A,TB-U,0,0,1,80
ChipMOS,DFN-08YQ2A,008YQAB078,AAB008YQ2032A,TB-P,0,0,1,37
ChipMOS,DFN-08YQ2A,008YQAB078,AAB008YQ2032A,TB-U,0,0,1,83
ChipMOS,DFN-08YQ2A,008YQVG006,ABU008YQ2002A,TB-U,0,0,1,40
ChipMOS,DFN-08YQ2A,008YQVG013,ABU008YQ2006A,TB-U,0,0,1,14
ChipMOS,DFN-08YQ2A,008YQVG014,ABU008YQ2018A,TB-U,0,0,1,12
ChipMOS,QFN-20YU2D,020YUNI024,ANI020YU1005C,TB-I,0,0,2,850
ChipMOS,QFN-36AB1,036ABBW009,ABW036AB1004A,TB-B,0,0,1,200
ChipMOS,TSOP1-48/48M,048TPAW054,AAW048TP1026E,TA,0,0,2,82
ChipMOS,TSOP1-48AM,048TWAB012,AAB048TW2006A,TA,0,0,2,244
ChipMOS,TSOP1-48AM,048TWMS080,AMS048TW1065A,TA,0,0,1,180
ChipMOS,TSOP2-54ME,054TNAB036,AAB054TN1005A,TA,0,0,1,120
ChipMOS,VFBGA90B4L,090NCAB019,AAB090NC4006A,TA,0,0,1,20
DIALOG,QFN-20YU2D,020YUNI024,ANI020YU1005C,TB-I,2.0,2.0,5,308752
DIALOG,QFN-20YU2D,020YUNI024,ANI020YU1005C,TB-R,7.0,7.0,7,0
EMC,FPSSLGA28r6V,0282JHQ031,AHQ0282J2006A,TB-I,5.0,5.0,5,0
EMC,FPSSLGA34VBV,0345JHQ001,AHQ0345J1001A,TB-R,0,0,3,13693
EMC,FPSSLGA41FRV,0415LHQ012,AHQ0415L1003B,TB-I,7.0,7.0,10,3148
EMC,FPSSLGA41FRV,0415LHQ012,AHQ0415L1003B,TB-R,0,0,3,3437
EMC,FPSTLGA44tBV,0442JHQ015,AHQ0442J3003A,TB-IP,0,0,1,2333
EMC,FPSTLGA44tBV,0442JHQ016,AHQ0442J3003A,TB-I,6.0,4.0,13,72297
EMC,FPSTLGA44tBV,0442JHQ016,AHQ0442J3003A,TB-R,5.0,5.0,10,47228
ENG,DFN-08YQ2A,008YQCME30ENG,AAB008YQ2037A,TB-U,0,0,2,864
ENG,FPSLGA12f6V,0122ICM019ENG,AHQ0122I1001A,TB-I,0,0,1,960
ETRON,FBGA-84UC(2),084UCCD006,ACD084CC2002A,TA,1.0,1.0,1,0
ETRON,TSOP2-54ME,054TNCD017,ACD054TN1001A,TA-2,2.0,2.0,2,0
ETRON,TSOP2-54ME,054TNCD021,ACD054TN1001A,TA-2,2.0,2.0,2,0
EliteMT,DFN-08YQ2A,008YQAS018,AAS008YQ2002B,TB-U,2.0,2.0,2,0
EliteMT,DFN-08YQ2A,008YQAS021,AAS008YQ2001B,TB-U,2.0,0,2,0
EliteMT,FBGA-84UC,084UCAS104,AAS084CC2011A,TB-U,2.0,1.0,2,0
EliteMT,FBGA-96UEL,096ELAS038,AAS096EL1007A,TB-U,12.0,8.0,12,0
EliteMT,MINIBGA48J3U,048MAAS006,AAS048MAB005A,TB-U,1.0,1.0,1,0
EliteMT,MINIBGA48J3U,048MAAS008,AAS048MAB006A,TB-U,1.0,1.0,1,0
EliteMT,SOP-8G,008FGAS006,AAS008FG1009A,TB-U,6.0,5.0,6,0
EliteMT,SOP-8G,008FGAS020,AAS008FG1013A,TB-U,9.0,9.0,9,0
EliteMT,TSOP1-48/48,048TGAS014,AAS048TG2007A,TB-U,2.0,1.0,2,0
EliteMT,TSOP1-48/48,048TGAS017,AAS048TG2003A,TB-I,5.0,1.0,5,0
EliteMT,TSOP1-48/48,048TGAS017,AAS048TG2003A,TB-U,5.0,4.0,5,0
EliteMT,TSOP1-48/48M,048TPAS007,AAS048TP2030A,TB-U,6.0,2.0,6,0
EliteMT,TSOP2-66CME,066TSAS015,AAS066TS1005B,TB-U,14.0,13.0,14,0
Everspin,STDFN-08YD2E,008YDVE002,AVE008YD2001A,TB-U,1.0,0,1,0
Everspin,STDFN-08YD2E,008YDVE004,AVE008YD2002A,TB-U,2.0,0,7,26295
FIDELIX,VFBGA54B4L,054NBGA028,AGA054NB1006A,TB-U,2.0,2.0,2,0
HOSIN,SSBGA153JAU,153XTSS004,ASS153XT3001A,TA-2,0,0,19,29998
HOSIN,SSBGA153JAU,153XTSS007,ASS153XT9006A,TA-2,7.0,3.0,7,0
HOSIN,SSBGA153JAU,153XTSS007,ASS153XT9006A,TA-5,1.0,0,1,0
HOSIN,SSBGA153JAU,153XTSS007,ASS153XT9006A,TA-P,15.0,9.0,15,0
HOSIN,SSBGA153JAU,153XTSS007,ASS153XT9006A,TB-P,6.0,4.0,6,0
HOSIN,SSBGA153JAU,153XTSS007,ASS153XT9006A,TB-U,18.0,13.0,18,0
HOSIN,STBGA153JAU,153XTSS005,ASS153XT3003A,TB-R,13.0,11.0,13,0
ICSI,FBGA-78LEA,078EABU001,ABU078EA1001A,TA,3.0,3.0,12,24906
ICSI,FBGA-78LEA,078EABU001,ABU078EA1001A,TA-2,0,0,1,5240
ICSI,FBGA-84UC(2),084UCBU004,ABU084CC2001C,TA-2,1.0,1.0,1,0
ICSI,FBGA-96LEA,096EABU001,ABU096EA1001A,TA,3.0,2.0,11,38361
ICSI,FBGA-96LEA,096EABU001,ABU096EA1001A,TA-2,0,0,3,9722
ICSI,FBGA-96LEA,096EABU001,ABU096EA1001A,TA-3,0,0,1,4255
ICSI,FBGA-96UEF,096EFBU001,ABU096EF2001A,TA,4.0,3.0,14,116678
ICSI,FBGA-96UEF,096EFBU001,ABU096EF2001A,TA-2,5.0,4.0,5,0
