CUSTOMER,Pin-pkg,Prod_ID,Bond ID,TA/TB,entity,Lot amount,,
EMC,FPSTLGA44tBV,0442JHQ016,AHQ0442J3003A,TB-I,BBA29,4,,
EMC,FPSTLGA44tBV,0442JHQ016,AHQ0442J3003A,TB-R,BBR09,5,,
EMC,FPSTLGA44tBV,0442JHQ016,AHQ0442J3003A,TB-R,BBR13,4,,
EMC,FPSTLGA44tBV,0442JHQ016,AHQ0442J3003A,TB-R,BBR17,4,,
EMC,FPSTLGA44tBV,0442JHQ016,AHQ0442J3003A,TB-R,BBR29,4,,
EMC,FPSTLGA44tBV,0442JHQ016,AHQ0442J3003A,TB-R,BBR34,4,,
EMC,FPSTLGA44tBV,0442JHQ016,AHQ0442J3003A,TB-R,BBR38,4,,
ENG,DFN-08YQ2A,008YQCME30ENG,AAB008YQ2037A,TB-U,BB871,1,,
ENG,DFN-08YQ2A,008YQCME30ENG,AAB008YQ2037A,TB-U,BB883,1,,
ENG,FPSLGA12f6V,0122ICM019ENG,AHQ0122I1001A,TB-I,BBA07,1,,
Everspin,STDFN-08YD2E,008YDVE004,AVE008YD2002A,TB-U,BB840,6,,
Everspin,STDFN-08YD2E,008YDVE004,AVE008YD2002A,TB-U,BB868,1,,
Everspin,STDFN-08YD2E,008YDVE004,AVE008YD2002A,TB-U,BB929,1,,
HOSIN,SSBGA153JAU,153XTSS004,ASS153XT3001A,TA-2,BB701,1,,
HOSIN,SSBGA153JAU,153XTSS004,ASS153XT3001A,TA-2,BB705,1,,
HOSIN,SSBGA153JAU,153XTSS004,ASS153XT3001A,TA-2,BB711,2,,
HOSIN,SSBGA153JAU,153XTSS004,ASS153XT3001A,TA-2,BB712,2,,
HOSIN,SSBGA153JAU,153XTSS004,ASS153XT3001A,TA-2,BB722,1,,
HOSIN,SSBGA153JAU,153XTSS004,ASS153XT3001A,TA-2,BB733,1,,
HOSIN,SSBGA153JAU,153XTSS004,ASS153XT3001A,TA-2,BB737,2,,
HOSIN,SSBGA153JAU,153XTSS004,ASS153XT3001A,TA-2,BB750,1,,
HOSIN,SSBGA153JAU,153XTSS004,ASS153XT3001A,TA-2,BB752,2,,
HOSIN,SSBGA153JAU,153XTSS004,ASS153XT3001A,TA-2,BB756,1,,
HOSIN,SSBGA153JAU,153XTSS004,ASS153XT3001A,TA-2,BB784,1,,
HOSIN,SSBGA153JAU,153XTSS004,ASS153XT3001A,TA-2,BB785,1,,
HOSIN,SSBGA153JAU,153XTSS004,ASS153XT3001A,TA-2,BB791,1,,
HOSIN,SSBGA153JAU,153XTSS004,ASS153XT3001A,TA-2,BBB01,2,,
HOSIN,SSBGA153JAU,153XTSS004,ASS153XT3001A,TA-2,BBB11,1,,
HOSIN,SSBGA153JAU,153XTSS004,ASS153XT3001A,TA-2,BBB12,1,,
HOSIN,SSBGA153JAU,153XTSS004,ASS153XT3001A,TA-2,BBB19,2,,
HOSIN,SSBGA153JAU,153XTSS004,ASS153XT3001A,TA-2,BBB25,2,,
HOSIN,SSBGA153JAU,153XTSS004,ASS153XT3001A,TA-2,BBB26,1,,
HOSIN,SSBGA153JAU,153XTSS004,ASS153XT3001A,TA-2,BBB27,2,,
HOSIN,SSBGA153JAU,153XTSS004,ASS153XT3001A,TA-2,BBB28,2,,
HOSIN,SSBGA153JAU,153XTSS004,ASS153XT3001A,TA-2,BBB34,2,,
ICSI,FBGA-78LEA,078EABU001,ABU078EA1001A,TA,BB442,1,,
ICSI,FBGA-78LEA,078EABU001,ABU078EA1001A,TA,BB455,2,,
ICSI,FBGA-78LEA,078EABU001,ABU078EA1001A,TA,BB496,2,,
ICSI,FBGA-78LEA,078EABU001,ABU078EA1001A,TA,BB497,1,,
ICSI,FBGA-78LEA,078EABU001,ABU078EA1001A,TA,BB528,1,,
ICSI,FBGA-78LEA,078EABU001,ABU078EA1001A,TA,BB591,1,,
ICSI,FBGA-78LEA,078EABU001,ABU078EA1001A,TA,BB612,1,,
ICSI,FBGA-78LEA,078EABU001,ABU078EA1001A,TA,BB616,2,,
ICSI,FBGA-78LEA,078EABU001,ABU078EA1001A,TA,BB620,2,,
ICSI,FBGA-78LEA,078EABU001,ABU078EA1001A,TA-2,BB708,2,,
ICSI,FBGA-78LEA,078EABU001,ABU078EA1001A,TA-2,BB736,1,,
ICSI,FBGA-78LEA,078EABU001,ABU078EA1001A,TA-2,BB762,1,,
