route,wlot_lot_number,wlot_crt_dat_al_1,pin_package,wlot_prod,wlot_qty_1,wlot_qty_2,wlot_oper,wlot_hold,cust_code,package_id,po_no,wlot_mvin_perfmd,wlot_actl_mvin_dt,wlot_actl_mvin_tm,wlot_dt_last_trans,wlot_tm_last_trans,wlot_hold_category,wlot_assy_lot,bd_id,urgent_code,wip_outplan_time
MBGA844,P15NVU723,PHISON,SSBGA132G4U,132X2NV113,1200,0,2070,N,NV,30-P0NA0HP926{800A},513-210406004,Y,20210416,20648,20210416,33424,,P15NVU7,ANV132X2A014A,,
MBGA844,P15NVU739,PHISON,SSBGA132G4U,132X2NV113,1200,0,2070,N,NV,30-P0NA0HP926{800A},513-210406004,Y,20210416,20648,20210416,33424,,P15NVU7,ANV132X2A014A,,
MBGA844,P15NVU732,PHISON,SSBGA132G4U,132X2NV113,1200,0,2070,N,NV,30-P0NA0HP926{800A},513-210406004,Y,20210416,20648,20210416,33424,,P15NVU7,ANV132X2A014A,,
MBGA844,P15NVU738,PHISON,SSBGA132G4U,132X2NV113,1200,0,2070,N,NV,30-P0NA0HP926{800A},513-210406004,Y,20210416,20648,20210416,33424,,P15NVU7,ANV132X2A014A,,
MBGA844,P15NVU722,PHISON,SSBGA132G4U,132X2NV113,1200,0,2070,N,NV,30-P0NA0HP926{800A},513-210406004,Y,20210416,20648,20210416,33424,,P15NVU7,ANV132X2A014A,,
MBGA214,P15SSBF07,HOSIN,SSBGA153JAU,153XTSS007,3711,0,2200,N,SS,EMC-YMC-84APAL-008-01A52,21033130,Y,20210416,23419,20210416,23419,,P15SSBF,ASS153XT9006A,,2021/4/17 05:06
BGA206,P09LWF503,MTI-S,FBGA-78U9,078U9LW014,5583,0,2200,N,LW,SPSUBV00HX8F-Z-BG66-QFG-200-X2-1{ZDT},5500004398,Y,20210416,24901,20210416,24901,,P09LWF5,ALW078C93002A,,2021/4/16 19:47
BGA40,P16BUB311,ICSI,FBGA-96UEF,096EFBU001,1467,0,2070,N,BU,IS46TR16128DL-125KBLA2-AS,C02PO-100500925,Y,20210416,25310,20210416,51727,,P16BUB3,ABU096EF2001A,,
BGA40,P16BUB310,ICSI,FBGA-96UEF,096EFBU001,5000,0,2070,N,BU,IS46TR16128DL-125KBLA2-AS,C02PO-100500925,Y,20210416,25310,20210416,51727,,P16BUB3,ABU096EF2001A,,
BGA40,P16BUB3,ICSI,FBGA-96UEF,096EFBU001,0,25,2070,N,BU,IS46TR16128DL-125KBLA2-AS,C02PO-100500925,Y,20210416,25310,20210416,51727,,P16BUB3,ABU096EF2001A,,2021/4/17 08:45
MBGA214,P15SSBE06,HOSIN,SSBGA153JAU,153XTSS007,3693,0,2200,N,SS,EMC-YMC-84APAL-008-01A52,21033130,Y,20210416,30828,20210416,30828,,P15SSBE,ASS153XT9006A,,2021/4/17 05:33
BGA206,P09LWF501,MTI-S,FBGA-78U9,078U9LW014,6520,0,2200,N,LW,SPSUBV00HX8F-Z-BG66-QFG-200-X2-1{ZDT},5500004398,Y,20210416,35925,20210416,35925,,P09LWF5,ALW078C93002A,,2021/4/16 23:48
MBGA247,P15VGB603,ISSI-VG,STBGA24J4U,024XJVG009,1087,0,2070,N,VG,IS25WP512M-RHLA3{U},C02PO-100500021,Y,20210416,40335,20210416,141929,,P15VGB6,ABU024XJ6003A,,
MBGA247,P15VGB602,ISSI-VG,STBGA24J4U,024XJVG009,12320,0,2070,N,VG,IS25WP512M-RHLA3{U},C02PO-100500021,Y,20210416,40335,20210416,141929,,P15VGB6,ABU024XJ6003A,,
MBGA214,P15SSBF02,HOSIN,SSBGA153JAU,153XTSS007,3766,0,2200,N,SS,EMC-YMC-84APAL-008-01A52,21033130,Y,20210416,41434,20210416,41434,,P15SSBF,ASS153XT9006A,,2021/4/17 11:32
MCON57,P15AWA129,MXIC,TSOP1-48/M2,048TPAW103,720,0,2200,Y,AW,5480CNB-48TG000,4525717452-10,Y,20210416,41711,20210417,53257,WST,P15AWA1,AAW048TP1008B,,
